agg_code,instance,longitude,latitude,arrondissement,rue_1,rue_2,numeroVoie,direction,periode,volume,vitesseMoyenne
m,det-00257-02,-73.572125,45.489232,Le Sud-Ouest,Saint-Jacques,Seigneurs,4,Est,2025-07-01 00:00:00-04:00,1706,
m,det-00257-02,-73.572125,45.489232,Le Sud-Ouest,Saint-Jacques,Seigneurs,4,Est,2025-08-01 00:00:00-04:00,2385,
m,det-00257-02,-73.572125,45.489232,Le Sud-Ouest,Saint-Jacques,Seigneurs,4,Est,2025-09-01 00:00:00-04:00,1409,
m,det-00257-02,-73.572125,45.489232,Le Sud-Ouest,Saint-Jacques,Seigneurs,4,Est,2025-10-01 00:00:00-04:00,1372,
m,det-00257-02,-73.572125,45.489232,Le Sud-Ouest,Saint-Jacques,Seigneurs,4,Est,2025-11-01 00:00:00-04:00,1101,
m,det-00257-02,-73.572125,45.489232,Le Sud-Ouest,Saint-Jacques,Seigneurs,4,Est,2025-12-01 00:00:00-05:00,662,
m,det-00257-02,-73.572125,45.489232,Le Sud-Ouest,Saint-Jacques,Seigneurs,4,Est,2026-01-01 00:00:00-05:00,430,
m,det-00257-02,-73.572125,45.489232,Le Sud-Ouest,Saint-Jacques,Seigneurs,4,Est,2026-02-01 00:00:00-05:00,630,
m,det-00257-02,-73.572125,45.489232,Le Sud-Ouest,Saint-Jacques,Seigneurs,4,Est,2026-03-01 00:00:00-05:00,577,
m,det-00257-02,-73.572125,45.489232,Le Sud-Ouest,Saint-Jacques,Seigneurs,4,Est,2026-04-01 00:00:00-04:00,830,
m,det-00257-02,-73.572125,45.489232,Le Sud-Ouest,Saint-Jacques,Seigneurs,4,Est,2026-05-01 00:00:00-04:00,2501,
m,det-00268-02,-73.61126282,45.62989831,Rivière-des-Prairies–Pointe-aux-Trembles,Louis-Hippolyte-La-Fontaine,Perras Inter. Est,1,Est,2025-12-01 00:00:00-05:00,44,6.045454545454546
